speaker,gloss,date
CHI,a eye yyy car .,30-OCT-1963
MOT,car .,30-OCT-1963
CHI,more car .,30-OCT-1963
MOT,more cars .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a bike .,30-OCT-1963
MOT,a bike .,30-OCT-1963
MOT,that like your bike ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,who's this over here ?,30-OCT-1963
CHI,a girl .,30-OCT-1963
MOT,-um .,30-OCT-1963
MOT,who's this ?,30-OCT-1963
CHI,a dog .,30-OCT-1963
MOT,a dog .,30-OCT-1963
CHI,ah bab bab bab .,30-OCT-1963
MOT,that's not bad .,30-OCT-1963
CHI,doggy .,30-OCT-1963
CHI,a baby .,30-OCT-1963
MOT,a baby .,30-OCT-1963
CHI,hi baby .,30-OCT-1963
MOT,is that a baby honey ?,30-OCT-1963
CHI,xxx baby .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,ice cream .,30-OCT-1963
MOT,yeah .,30-OCT-1963
MOT,you like that ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,you eat the ice cream .,30-OCT-1963
CHI,ah ah .,30-OCT-1963
MOT,you eat it all up ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,a hat .,30-OCT-1963
CHI,a hat .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,say it louder .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a key .,30-OCT-1963
MOT,a key .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,a kitty .,30-OCT-1963
MOT,kitty .,30-OCT-1963
CHI,my little kitty .,30-OCT-1963
MOT,your little kitty .,30-OCT-1963
MOT,where's your where's the kitty ?,30-OCT-1963
CHI,kitty gone .,30-OCT-1963
MOT,the kitty over at Nana's ?,30-OCT-1963
MOT,huh .,30-OCT-1963
CHI,a kitty .,30-OCT-1963
MOT,yeah .,30-OCT-1963
MOT,that's a kitty .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,mm a bubble .,30-OCT-1963
MOT,a bubble .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,a milk .,30-OCT-1963
MOT,did you drink it all up ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a money .,30-OCT-1963
MOT,money .,30-OCT-1963
MOT,and who's this ?,30-OCT-1963
CHI,a moon .,30-OCT-1963
MOT,Mr Moon .,30-OCT-1963
MOT,who's this ?,30-OCT-1963
CHI,a monkey .,30-OCT-1963
MOT,a monkey .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,a boat .,30-OCT-1963
MOT,a boat .,30-OCT-1963
CHI,0 .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,a girl .,30-OCT-1963
MOT,huh .,30-OCT-1963
CHI,a girl Mummy .,30-OCT-1963
CHI,a girl .,30-OCT-1963
MOT,a girl .,30-OCT-1963
CHI,a girl ?,30-OCT-1963
MOT,girl .,30-OCT-1963
CHI,girl girl ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,xxx girl xxx ?,30-OCT-1963
CHI,girl there ?,30-OCT-1963
